_id,notation,prefLabel,definition,collections,inScheme,topConceptOf,belongsTo,theme
conceptscheme:hoofdfunctie_stedenbouw,Hoofdfunctie stedenbouw,Hoofdfunctie stedenbouw,"De functies die in kader van een omgevingsvergunning voor stedenbouwkundige handelingen als hoofdfunctie beschouwd worden in Artikel 2, § 1, van het Besluit van de Vlaamse Regering van14 april 2000 tot bepaling van de vergunningsplichtige functiewijzigingen",,,,,
wonen,Wonen,Wonen,Huisvesting van een gezin of alleenstaande,,conceptscheme:hoofdfunctie_stedenbouw,conceptscheme:hoofdfunctie_stedenbouw,,
verblijfsrecreatie,Verblijfsrecreatie,Verblijfsrecreatie,"Vorm van recreatie waarbij de recreant voor een bepaalde tijd, maar ten minste een nacht, in het recreatiegebied of de toeristische plaats verblijft",,conceptscheme:hoofdfunctie_stedenbouw,conceptscheme:hoofdfunctie_stedenbouw,,
dagrecreatie_met_inbegrip_van_sport,"Dagrecreatie, met inbegrip van sport","Dagrecreatie, met inbegrip van sport","Vorm van recreatie die niet langer duurt dan een dag, en waarbij dus geen sprake is van overnachting",,conceptscheme:hoofdfunctie_stedenbouw,conceptscheme:hoofdfunctie_stedenbouw,,
land_en_tuinbouw_in_de_ruime_zin,Land- en tuinbouw in de ruime zin,Land- en tuinbouw in de ruime zin,"Bedrijfstak die zich bezighoudt met de productie van paddestoelen, planten en dieren",,conceptscheme:hoofdfunctie_stedenbouw,conceptscheme:hoofdfunctie_stedenbouw,,gemet:232
detailhandel,Detailhandel,Detailhandel,Bedrijfstak die zich bezighoudt met de verkoop van fysieke goederen aan consumenten,,conceptscheme:hoofdfunctie_stedenbouw,conceptscheme:hoofdfunctie_stedenbouw,,gemet:7193
dancing_restaurant_en_cafe,"Dancing, restaurant en café","Dancing, restaurant en café","Bedrijfstak die zich bezighoudt met eten, drinken en dansgelegenheden. Horeca, maar dan zonder de logies.",,conceptscheme:hoofdfunctie_stedenbouw,conceptscheme:hoofdfunctie_stedenbouw,,
kantoorfunctie_dienstverlening_en_vrije_beroepen,"Kantoorfunctie, dienstverlening en vrije beroepen","Kantoorfunctie, dienstverlening en vrije beroepen","Bedrijfstak die zich bezighoudt met het verlenen van diensten, inclusief administratieve werkzaamheden en intellectuele diensten.",,conceptscheme:hoofdfunctie_stedenbouw,conceptscheme:hoofdfunctie_stedenbouw,,
industrie_en_bedrijvigheid,Industrie en bedrijvigheid,Industrie en bedrijvigheid,Bedrijfstak die zich bezighoudt met de verwerking van grondstoffen tot (half)producten,,conceptscheme:hoofdfunctie_stedenbouw,conceptscheme:hoofdfunctie_stedenbouw,,gemet:19
gemeenschapsvoorzieningen_en_openbare_nutsvoorzieningen,Gemeenschapsvoorzieningen en openbare nutsvoorzieningen,Gemeenschapsvoorzieningen en openbare nutsvoorzieningen,"Voorzieningen die gericht zijn op de bevordering van het algemeen belang en die ten dienste van de gemeenschap worden gesteld (Bron: 8 JULI 1997. Omzendbrief betreffende de inrichting en de toepassing van de ontwerp-gewestplannen en gewestplannen, gewijzigd via omzendbrief dd. 25/1/2002 en 25/10/2002)",,conceptscheme:hoofdfunctie_stedenbouw,conceptscheme:hoofdfunctie_stedenbouw,,
militaire_functie,Militaire functie,Militaire functie,Werking ten behoeve van de krijgsmacht van de staat,,conceptscheme:hoofdfunctie_stedenbouw,conceptscheme:hoofdfunctie_stedenbouw,,
